place_all, race_no, first, last, age, nation, club, time, medal, category
5930 / 5150 / 2020,47178,Nazeer, Bulbulia,45,RSA,Jozi X Training,10:17:03,Bronze,M VET
5931 / 781 / 314,53272,Clara, Betton,42,RSA,Bidvest Athletic Club,10:17:03,Bronze,F VET
5932 / 5151 / 611,6779,Hercu, Hofmeyr,58,RSA,Swartland Athletics Club,10:17:05,Bronze,M MAS
5933 / 782 / 382,31918,Aletia, Van Antwerpen,33,RSA,Swartland Athletics Club,10:17:05,Bronze,F SEN
5934 / 5152 / 2439,39201,Tshepisonyane, Dioka,34,RSA,Kudumane Athletic Club,10:17:06,Bronze,M SEN
5935 / 783 / 315,39791,Laura,Anne  Coetzee,45,RSA,SANDF Athletic Club - Northern Cape,10:17:06,Bronze,F VET
5936 / 5153 / 2021,32315,Thamsanqa, Ngcobo,46,RSA,Ukhozi Athletic Club,10:17:06,Bronze,M VET
5937 / 5154 / 2440,15813,Derick, Aucamp,40,RSA,Pentagon Pistols Athletic Club,10:17:06,Bronze,M SEN
5938 / 5155 / 612,20523,Doug, Macisaac,54,CAN,Lacombe Running Club,10:17:07,Bronze,M MAS
5939 / 5156 / 2022,49797,Dennis, Houston-Mcmillan,46,RSA,Bluff Athletic Club,10:17:07,Bronze,M VET
5939 / 5156 / 2022,55577,Greig, Tanner,45,RSA,Bluff Athletic Club,10:17:07,Bronze,M VET
5941 / 5158 / 613,10478,Hendrik, Du Plessis,57,RSA,Bluff Athletic Club,10:17:09,Bronze,M MAS
5942 / 784 / 383,13716,Alicia, Coetser,29,RSA,Bluff Athletic Club,10:17:09,Bronze,F SEN
5943 / 5159 / 2024,57539,Phindelani,Goodboy  Mlangeni,45,RSA,Department Of Rural Development & Land Reform AC,10:17:10,Bronze,M VET
5944 / 5160 / 2025,17725,Jan, Hitge,44,RSA,Running Inn Athletic Club,10:17:11,Bronze,M VET
5945 / 785 / 316,25726,Brenda, Wesi,45,RSA,Born 2 Run Athletic Club - CG,10:17:12,Bronze,F VET
5946 / 786 / 317,24324,Vandana, Parekh Hiten,44,IND,,10:17:14,Bronze,F VET
5947 / 787 / 318,53340,Mmatota, Kheitsane,50,RSA,Nedbank Running Club Vanderbijlpark,10:17:15,Bronze,F VET
5948 / 5161 / 614,50916,Isaac, Madlala,52,RSA,South Coast Striders Athletic Club,10:17:17,Bronze,M MAS
5949 / 5162 / 2441,58520,Mlondi, Bhengu,24,RSA,Nedbank Running Club KZN,10:17:17,Bronze,M SEN
5950 / 5163 / 615,29711,Christiaan, Steyn,56,RSA,SANDF Athletic Club - Pretoria PMMC,10:17:18,Bronze,M MAS
5951 / 5164 / 2442,59417,Kirsten, Govender,26,RSA,Chatsworth Athletic Club,10:17:20,Bronze,M SEN
5952 / 5165 / 2443,29364,Mandla, Nhlangothi,40,RSA,Pretoria Marathon Club,10:17:20,Bronze,M SEN
5953 / 788 / 384,36148,Nikiwe,Brightness  Zwane,30,RSA,Carlton Athletic Club,10:17:21,Bronze,F SEN
5954 / 5166 / 2026,19531,Ricky, Chauke,43,RSA,Standard Bank Athletic Club - CG,10:17:26,Bronze,M VET
5955 / 789 / 385,27446,Emilia, Du Preez-Nel,35,RSA,Akasia Athletic Club,10:17:28,Bronze,F SEN
5956 / 5167 / 2027,38166,Sithembiso, Zungu,42,RSA,Merewent Athletic Club,10:17:31,Bronze,M VET
5957 / 5168 / 2444,23559,Samson,Kombe  Sikazwe,36,RSA,Run Walk For Life - CG,10:17:33,Bronze,M SEN
5958 / 790 / 386,27185,Zandile, Mtetwa,33,RSA,Dolphin Coast Striders,10:17:33,Bronze,F SEN
5959 / 5169 / 2445,15357,Sanele, Dlamini,28,RSA,Dolphin Coast Striders,10:17:33,Bronze,M SEN
5960 / 791 / 387,10912,Catherine, Carr,22,RSA,Dolphin Coast Striders,10:17:35,Bronze,F SEN
5961 / 5170 / 2028,29305,Jack, Gamble,49,RSA,Durbanville Athletic Club,10:17:36,Bronze,M VET
5962 / 5171 / 2446,32757,Peter, Molapo,38,RSA,Modikwa Marathon Club,10:17:38,Bronze,M SEN
5963 / 5172 / 616,12709,Andy, Cooksey,55,GBR,,10:17:39,Bronze,M MAS
5964 / 5173 / 2447,27793,Gavin, Lomax,40,RSA,Spartan Harriers,10:17:41,Bronze,M SEN
5965 / 5174 / 82,15913,Brian, Thompson,69,RSA,Dolphin Coast Striders,10:17:49,Bronze,M GM
5966 / 5175 / 617,44265,Kerneels, Mientjies,57,RSA,Muirite Striders Athletic Club,10:17:49,Bronze,M MAS
5967 / 5176 / 2029,11922,Mark, Easter,40,RSA,Sunward Athletic Club,10:17:51,Bronze,M VET
5968 / 5177 / 2030,32379,Mahlogonolo, Rabodiba,41,RSA,Germiston Callies Harriers,10:17:51,Bronze,M VET
5969 / 5178 / 618,51523,Mohammed, Allie,54,RSA,Run For Fun,10:17:52,Bronze,M MAS
5969 / 792 / 319,11838,Susan, Mdaka,41,RSA,Germiston Callies Harriers,10:17:52,Bronze,F VET
5971 / 5179 / 2448,19603,Tshilidzi, Nenzhelele,35,RSA,Faranani Athletic Club,10:17:52,Bronze,M SEN
5972 / 5180 / 2031,57861,Mhlengi, Dlamini,40,RSA,Highway Athletic Club,10:17:54,Bronze,M VET
5973 / 5181 / 2032,18099,Theo, Mostert,42,RSA,Eskom Athletic Club - MPU,10:17:56,Bronze,M VET
5973 / 5181 / 2032,41385,Raymond, Van Rooyen,47,RSA,Middelburg Marathon Club,10:17:56,Bronze,M VET
5975 / 5183 / 2034,29735,Mpho, Moholo,44,RSA,Honey Lotus Athletics Club,10:17:57,Bronze,M VET
5976 / 5184 / 619,21909,Barry, Abram,55,GBR,Wigan Harriers,10:17:58,Bronze,M MAS
5977 / 5185 / 2449,11474,Johannes,Jurie  Wilken,26,RSA,Krugersdorp Road Runners,10:17:59,Bronze,M SEN
5978 / 5186 / 620,35583,Jeremy, Mackeown,50,GBR,Dubai Creek Striders,10:18:00,Bronze,M MAS
5979 / 5187 / 2450,45793,Andries, Madona,39,RSA,Nedbank Running Club Central North West,10:18:00,Bronze,M SEN
5980 / 793 / 388,32567,Candice, Flood,27,RSA,Nedbank Running Club KZN,10:18:00,Bronze,F SEN
5981 / 794 / 389,23615,Caitlin, Wolstenholme,30,RSA,ATC Running Club,10:18:01,Bronze,F SEN
5982 / 5188 / 2451,17116,Burton, Summers,39,RSA,Standard Bank Athletic Club - CG,10:18:03,Bronze,M SEN
5983 / 5189 / 621,7112,Leendert, Lorenzen,60,RSA,SANDF Athletic Club - Pretoria PMMC,10:18:03,Bronze,M MAS
